customer_id,recency,frequency,monetary
CUST0260,16,10,32789
CUST0261,74,1,26349
CUST0262,178,3,3365
CUST0263,387,2,1673
CUST0264,41,6,43156
CUST0265,54,4,27867
CUST0266,124,2,5599
CUST0267,328,1,1144
CUST0268,19,10,33739
CUST0269,46,3,28084
CUST0270,82,2,6887
CUST0271,250,2,1053
CUST0272,40,6,39648
CUST0273,45,3,15042
CUST0274,103,2,2491
CUST0275,228,2,1787
CUST0276,29,8,34282
CUST0277,94,3,24949
CUST0278,86,3,6667
CUST0279,244,1,995
CUST0280,13,9,33801
CUST0281,68,1,31043
CUST0282,134,1,6463
CUST0283,394,2,156
CUST0284,24,7,47015
CUST0285,79,2,16020
CUST0286,176,2,3080
CUST0287,216,2,1875
CUST0288,40,10,29315
CUST0289,112,2,21080
CUST0290,92,2,5908
CUST0291,318,2,1898
CUST0292,10,10,43146
CUST0293,42,4,17175
CUST0294,106,3,5694
CUST0295,236,1,1608
CUST0296,30,10,22979
CUST0297,111,1,25463
CUST0298,93,1,6046
CUST0299,330,2,1231
CUST0300,8,10,30355
CUST0301,109,2,30312
CUST0302,101,1,4657
CUST0303,295,1,3515
CUST0304,24,9,48622
CUST0305,51,1,38628
CUST0306,171,3,3048
CUST0307,266,2,2885
CUST0308,4,7,31697
CUST0309,80,1,35890
CUST0310,154,2,7475
CUST0311,377,1,3794
CUST0312,7,9,30841
CUST0313,48,2,21673
CUST0314,135,1,6926
CUST0315,257,2,957
CUST0316,33,8,47848
CUST0317,54,3,27119
CUST0318,154,2,1462
CUST0319,364,1,1718
CUST0320,8,9,30862
CUST0321,99,2,20318
CUST0322,148,3,4153
CUST0323,346,1,3253
CUST0324,1,8,48070
CUST0325,71,2,18710
CUST0326,121,3,513
CUST0327,286,1,443
CUST0328,32,7,36406
CUST0329,120,3,34831
CUST0330,148,2,1429
CUST0331,247,2,2981
CUST0332,47,6,42988
CUST0333,56,1,19421
CUST0334,116,1,5139
CUST0335,345,1,1967
CUST0336,37,6,31134
CUST0337,63,2,17666
CUST0338,180,2,2588
CUST0339,386,2,3288
CUST0340,38,7,33145
CUST0341,116,1,33103
CUST0342,98,2,4343
CUST0343,231,1,834
CUST0344,5,9,39872
CUST0345,100,2,23878
CUST0346,103,1,6150
CUST0347,202,1,1381
CUST0348,12,8,33240
CUST0349,75,1,26245
CUST0350,176,3,6849
CUST0351,348,1,2799
CUST0352,7,6,35354
CUST0353,46,3,36232
CUST0354,103,1,3723
CUST0355,344,2,1959
CUST0356,19,8,28720
CUST0357,79,1,37506
CUST0358,123,3,2719
CUST0359,324,1,2788
CUST0360,22,9,28607
CUST0361,45,2,15764
CUST0362,65,3,4048
CUST0363,310,1,3495
CUST0364,17,6,45188
CUST0365,75,4,23324
CUST0366,94,1,831
CUST0367,339,1,826
CUST0368,15,7,35296
CUST0369,73,2,21244
CUST0370,96,1,5809
CUST0371,275,1,2450
CUST0372,32,8,29469
CUST0373,113,1,16879
CUST0374,172,1,1309
CUST0375,361,1,3349
CUST0376,27,8,27772
CUST0377,112,4,37290
CUST0378,179,2,3336
CUST0379,345,2,141
CUST0380,11,9,42085
CUST0381,109,1,17156
CUST0382,108,2,1217
CUST0383,383,2,3489
CUST0384,10,6,40580
CUST0385,64,3,34805
CUST0386,117,1,6133
CUST0387,295,2,1458
CUST0388,39,9,39104
CUST0389,89,3,36361
CUST0390,60,1,5232
CUST0391,301,1,3684
CUST0392,42,10,48498
CUST0393,76,4,16222
CUST0394,165,1,4653
CUST0395,303,1,1392
CUST0396,43,9,40056
CUST0397,43,1,37318
CUST0398,63,3,1209
CUST0399,258,2,245
CUST0400,9,8,37659
CUST0401,116,4,21140
CUST0402,75,2,2238
CUST0403,223,1,305
CUST0404,37,7,43260
CUST0405,68,2,20545
CUST0406,79,2,6776
CUST0407,358,2,3294
CUST0408,16,6,31920
CUST0409,110,1,22934
CUST0410,101,3,972
CUST0411,275,1,1530
CUST0412,32,7,34864
CUST0413,120,1,28373
CUST0414,82,1,5057
CUST0415,260,2,2585
CUST0416,33,7,42977
CUST0417,79,4,32618
CUST0418,130,3,7868
CUST0419,203,1,10
CUST0420,10,6,26356
CUST0421,94,4,31085
CUST0422,61,3,3974
CUST0423,389,1,3252
CUST0424,34,10,39576
CUST0425,116,3,26955
CUST0426,154,3,6989
CUST0427,360,2,253
CUST0428,11,7,30192
CUST0429,89,1,32408
CUST0430,117,2,3850
CUST0431,247,1,2638
CUST0432,43,9,39037
CUST0433,47,2,32033
CUST0434,108,1,4361
CUST0435,236,1,17
CUST0436,44,7,34944
CUST0437,96,4,33954
CUST0438,176,3,3456
CUST0439,375,1,1867
CUST0440,10,8,35578
CUST0441,104,3,23398
CUST0442,169,1,1977
CUST0443,335,1,1374
CUST0444,27,9,21284
CUST0445,40,2,16277
CUST0446,107,1,1930
CUST0447,381,2,3265
CUST0448,17,10,25962
CUST0449,87,3,18547
CUST0450,98,2,3997
CUST0451,314,1,3996
CUST0452,35,10,40185
CUST0453,64,4,36863
CUST0454,133,2,7739
CUST0455,230,2,1463
CUST0456,32,7,36205
CUST0457,107,3,23999
CUST0458,177,1,1494
CUST0459,237,1,1700
CUST0460,6,8,24085
CUST0461,85,2,25546
CUST0462,132,2,1212
CUST0463,308,1,2768
CUST0464,25,7,23852
CUST0465,60,1,33153
CUST0466,132,3,2385
CUST0467,223,2,2907
CUST0468,14,9,21723
CUST0469,85,1,36723
CUST0470,66,3,1532
CUST0471,382,1,3496
CUST0472,46,9,44101
CUST0473,106,2,32158
CUST0474,92,1,2567
CUST0475,213,2,2655
CUST0476,3,9,21450
CUST0477,76,2,18594
CUST0478,92,3,6920
CUST0479,200,1,2974
CUST0480,14,9,27348
CUST0481,104,3,39837
CUST0482,154,2,6720
CUST0483,300,1,886
CUST0484,34,7,30086
CUST0485,104,2,28548
CUST0486,156,1,7052
CUST0487,234,1,958
CUST0488,13,8,36768
CUST0489,91,3,30967
CUST0490,143,3,4335
CUST0491,377,2,1984
CUST0492,8,9,32507
CUST0493,98,1,29014
CUST0494,64,1,1652
CUST0495,315,2,1185
CUST0496,42,9,31548
CUST0497,94,2,35252
CUST0498,95,2,6073
CUST0499,286,1,2810
CUST0500,49,7,22695
CUST0501,87,1,30405
CUST0502,69,2,6487
CUST0503,399,1,1298
CUST0504,32,10,45065
CUST0505,84,2,37066
CUST0506,93,3,3383
CUST0507,201,2,70
CUST0508,32,10,22922
CUST0509,81,4,19762
CUST0510,83,2,7432
CUST0511,259,1,3594
CUST0512,30,9,29921
CUST0513,79,2,17446
CUST0514,97,3,4650
CUST0515,290,1,581
CUST0516,20,10,28064
CUST0517,83,3,36408
CUST0518,120,2,7974
CUST0519,326,2,386
CUST0520,18,6,36875
CUST0521,83,2,31810
CUST0522,67,2,7171
CUST0523,348,2,3291
CUST0524,13,6,43637
CUST0525,118,3,16591
CUST0526,180,1,901
CUST0527,269,1,1466
CUST0528,40,6,26818
CUST0529,82,4,37802
CUST0530,158,3,4895
CUST0531,303,1,2154
CUST0532,15,7,26261
CUST0533,90,1,34083
CUST0534,150,3,2443
CUST0535,392,2,1752
CUST0536,34,10,33633
CUST0537,81,2,18863
CUST0538,82,1,1293
CUST0539,377,2,1991
CUST0540,26,9,24775
CUST0541,58,4,17340
CUST0542,162,2,1065
CUST0543,221,2,2012
CUST0544,50,9,21728
CUST0545,53,1,34604
CUST0546,168,3,5569
CUST0547,323,1,1180
CUST0548,39,8,32457
CUST0549,116,1,36363
CUST0550,161,1,2796
CUST0551,313,1,1539
CUST0552,17,10,30827
CUST0553,48,4,19608
CUST0554,150,1,6107
CUST0555,289,2,2036
CUST0556,39,6,23462
CUST0557,55,4,17049
CUST0558,178,1,6596
CUST0559,219,1,2035
CUST0560,45,8,23778
CUST0561,58,2,19672
CUST0562,60,2,2254
CUST0563,215,1,334
CUST0564,38,10,45865
CUST0565,44,4,31014
CUST0566,94,2,5644
CUST0567,221,2,3288
CUST0568,20,6,37945
CUST0569,91,4,19037
CUST0570,124,2,4321
CUST0571,397,1,2706
CUST0572,36,7,33579
CUST0573,116,1,32553
CUST0574,71,2,7414
CUST0575,351,1,1986
CUST0576,8,9,27537
CUST0577,92,1,35071
CUST0578,147,1,577
CUST0579,204,2,63
CUST0580,35,6,41882
CUST0581,48,3,15493
CUST0582,169,2,6409
CUST0583,262,2,3156
CUST0584,8,8,49928
CUST0585,86,2,30742
CUST0586,128,2,5493
CUST0587,348,2,3771
CUST0588,5,10,47870
CUST0589,83,1,38486
CUST0590,77,2,2979
CUST0591,336,2,2305
CUST0592,45,8,37119
CUST0593,50,2,23156
CUST0594,126,3,3062
CUST0595,283,1,603
CUST0596,26,7,31347
CUST0597,71,4,16803
CUST0598,84,1,4911
CUST0599,298,2,3427
CUST0600,40,10,49878
CUST0601,100,4,22350
CUST0602,119,3,1430
CUST0603,357,2,290
CUST0604,37,6,37195
CUST0605,95,4,27829
CUST0606,73,3,7958
CUST0607,368,1,1838
CUST0608,41,8,29533
CUST0609,53,3,26402
CUST0610,63,3,5737
CUST0611,360,1,3477
CUST0612,42,6,47817
CUST0613,108,4,19683
CUST0614,161,3,7597
CUST0615,400,2,1852
CUST0616,36,9,33652
CUST0617,97,2,21874
CUST0618,108,3,6108
CUST0619,256,2,3472
CUST0620,40,6,42934
CUST0621,45,3,22746
CUST0622,135,2,6115
CUST0623,221,1,4
CUST0624,49,10,28940
CUST0625,48,3,34622
CUST0626,96,3,3380
CUST0627,268,2,2225
CUST0628,26,10,33935
CUST0629,45,3,16205
CUST0630,161,1,3382
CUST0631,349,1,1011
CUST0632,24,9,33274
CUST0633,111,3,25305
CUST0634,104,3,672
CUST0635,336,1,259
CUST0636,13,9,49960
CUST0637,108,2,18685
CUST0638,78,3,2079
CUST0639,214,1,52
CUST0640,8,7,49047
CUST0641,70,3,36110
CUST0642,132,3,3499
CUST0643,217,1,1941
CUST0644,49,6,21611
CUST0645,51,1,39624
CUST0646,161,2,7761
CUST0647,344,1,3898
CUST0648,37,9,34786
CUST0649,60,1,23458
CUST0650,107,1,638
CUST0651,342,2,1840
CUST0652,40,9,25115
CUST0653,97,1,38083
CUST0654,173,1,6938
CUST0655,246,1,569
CUST0656,16,8,44362
CUST0657,48,4,21773
CUST0658,168,2,3545
CUST0659,313,2,234
CUST0660,40,9,20795
CUST0661,58,4,27390
CUST0662,63,3,3733
CUST0663,383,1,3901
CUST0664,3,7,46191
CUST0665,109,2,19286
CUST0666,179,3,5263
CUST0667,262,1,1385
CUST0668,9,10,49777
CUST0669,100,4,35668
CUST0670,118,2,2143
CUST0671,340,1,1313
CUST0672,46,8,28951
CUST0673,89,4,33227
CUST0674,96,3,6854
CUST0675,303,2,3854
CUST0676,6,10,26643
CUST0677,115,3,20460
CUST0678,153,3,2347
CUST0679,264,1,3965
CUST0680,17,6,46840
CUST0681,116,4,31585
CUST0682,85,1,2529
CUST0683,387,1,2442
CUST0684,41,7,29771
CUST0685,61,3,18243
CUST0686,116,1,5017
CUST0687,327,2,2704
CUST0688,24,6,43968
CUST0689,64,2,37835
CUST0690,169,3,6581
CUST0691,334,2,3269
CUST0692,3,10,45222
CUST0693,107,3,15228
CUST0694,96,1,2440
CUST0695,353,1,3720
CUST0696,28,6,23223
CUST0697,109,1,20609
CUST0698,77,2,5465
CUST0699,322,1,3400
CUST0700,39,6,49328
CUST0701,43,2,32981
CUST0702,63,3,7412
CUST0703,356,1,1204
CUST0704,26,7,26106
CUST0705,50,2,38710
CUST0706,173,3,6831
CUST0707,358,1,3731
CUST0708,37,7,47022
CUST0709,116,3,28978
CUST0710,88,1,6644
CUST0711,265,2,3326
CUST0712,10,10,47809
CUST0713,94,2,39030
CUST0714,152,1,6906
CUST0715,368,1,211
CUST0716,6,10,40830
CUST0717,68,1,26810
CUST0718,71,1,4393
CUST0719,310,1,3868
CUST0720,16,8,25102
CUST0721,70,4,36416
CUST0722,131,2,4482
CUST0723,334,1,1335
CUST0724,15,7,40513
CUST0725,65,3,28467
CUST0726,168,1,5628
CUST0727,290,2,543
CUST0728,9,6,26076
CUST0729,53,4,38977
CUST0730,113,2,1290
CUST0731,232,2,2300
CUST0732,5,7,34582
CUST0733,77,4,29781
CUST0734,136,1,2599
CUST0735,287,1,1652
CUST0736,48,8,27832
CUST0737,70,1,25454
CUST0738,128,3,7001
CUST0739,248,2,2338
CUST0740,38,6,22495
CUST0741,57,3,21526
CUST0742,116,1,923
CUST0743,387,2,1267
CUST0744,19,6,36949
CUST0745,99,2,29107
CUST0746,66,2,4799
CUST0747,363,1,2126
CUST0748,36,9,34654
CUST0749,108,2,26022
CUST0750,80,3,4094
CUST0751,231,1,1967
CUST0752,43,10,25492
CUST0753,87,1,16911
CUST0754,137,3,2331
CUST0755,295,1,880
CUST0756,1,9,28789
CUST0757,119,3,39678
CUST0758,93,3,7318
CUST0759,257,2,2541
CUST0760,49,7,33873
CUST0761,83,1,28725
CUST0762,92,3,1058
CUST0763,232,2,1941
CUST0764,47,9,30843
CUST0765,102,4,24330
CUST0766,66,2,6755
CUST0767,251,2,1445
CUST0768,47,8,25509
CUST0769,40,3,26955
CUST0770,60,3,2182
CUST0771,224,2,3019
CUST0772,2,6,45398
CUST0773,72,2,32462
CUST0774,152,1,2359
CUST0775,252,1,3864
CUST0776,8,10,35826
CUST0777,89,4,32027
CUST0778,82,3,2067
CUST0779,214,1,2155
CUST0780,44,6,26368
CUST0781,108,1,22258
CUST0782,151,3,3587
CUST0783,318,1,157
CUST0784,3,8,47453
CUST0785,98,1,26236
CUST0786,177,1,7345
CUST0787,251,1,3289
CUST0788,6,9,49969
CUST0789,96,3,34915
CUST0790,72,2,4597
CUST0791,368,1,2526
CUST0792,2,7,46346
CUST0793,74,4,23445
CUST0794,96,1,3003
CUST0795,268,2,3555
CUST0796,39,6,32378
CUST0797,41,1,22303
CUST0798,127,1,7842
CUST0799,359,1,3036
CUST0800,30,7,23956
CUST0801,111,2,28799
CUST0802,167,3,2306
CUST0803,297,1,865
CUST0804,39,7,39966
CUST0805,103,1,22309
CUST0806,171,3,5925
CUST0807,298,2,3739
CUST0808,10,7,49128
CUST0809,110,3,24633
CUST0810,94,3,6126
CUST0811,207,2,853
CUST0812,2,8,21051
CUST0813,62,1,35479
CUST0814,130,1,1642
CUST0815,223,1,1781
CUST0816,15,10,21301
CUST0817,54,2,26088
CUST0818,121,3,7856
CUST0819,313,2,897
CUST0820,37,9,24215
CUST0821,55,3,15601
CUST0822,128,3,3093
CUST0823,209,2,3107
CUST0824,18,6,21776
CUST0825,64,2,17850
CUST0826,79,1,7194
CUST0827,273,2,2550
CUST0828,5,9,47963
CUST0829,80,3,15380
CUST0830,152,1,4698
CUST0831,363,2,2505
CUST0832,3,8,28999
CUST0833,108,3,26521
CUST0834,97,1,1984
CUST0835,263,1,856
CUST0836,22,9,40134
CUST0837,43,3,15552
CUST0838,174,2,7031
CUST0839,217,2,3948
CUST0840,1,9,29903
CUST0841,60,4,29950
CUST0842,112,2,3055
CUST0843,307,1,3575
CUST0844,27,8,48802
CUST0845,71,4,33333
CUST0846,103,1,871
CUST0847,202,2,2118
CUST0848,9,7,48523
CUST0849,84,4,39018
CUST0850,150,3,1902
CUST0851,242,2,1166
CUST0852,38,7,23844
CUST0853,88,4,23946
CUST0854,120,1,1353
CUST0855,329,1,3317
CUST0856,35,9,28027
CUST0857,92,2,22997
CUST0858,176,1,4467
CUST0859,233,2,2386
CUST0860,37,8,37676
CUST0861,96,4,33917
CUST0862,107,2,3844
CUST0863,236,2,2366
CUST0864,27,8,25747
CUST0865,92,1,15276
CUST0866,81,3,2350
CUST0867,346,1,115
CUST0868,43,8,33443
CUST0869,40,2,28091
CUST0870,161,1,3346
CUST0871,295,1,2760
CUST0872,34,9,48158
CUST0873,109,1,33770
CUST0874,97,1,5328
CUST0875,216,1,2426
CUST0876,6,10,28713
CUST0877,113,4,20858
CUST0878,92,2,3759
CUST0879,322,1,2023
CUST0880,16,6,37702
CUST0881,99,3,27263
CUST0882,138,2,2667
CUST0883,374,1,720
CUST0884,7,10,39459
CUST0885,73,2,39052
CUST0886,134,1,2570
CUST0887,260,2,444
CUST0888,37,8,23044
CUST0889,113,4,31086
CUST0890,79,3,1904
CUST0891,252,2,394
CUST0892,38,7,47073
CUST0893,96,2,21168
CUST0894,142,1,5087
CUST0895,260,1,3639
CUST0896,42,6,24785
CUST0897,53,4,17030
CUST0898,87,3,4375
CUST0899,270,1,1215
CUST0900,25,10,28980
CUST0901,73,4,25275
CUST0902,99,3,2137
CUST0903,237,2,3208
CUST0904,49,9,33384
CUST0905,58,3,36035
CUST0906,100,1,682
CUST0907,246,2,2251
CUST0908,35,9,21851
CUST0909,117,3,22317
CUST0910,100,1,6196
CUST0911,212,2,3274
CUST0912,40,6,27911
CUST0913,82,3,38203
CUST0914,168,2,7027
CUST0915,219,1,3581
CUST0916,42,8,43262
CUST0917,107,1,33862
CUST0918,165,1,6722
CUST0919,209,2,2659
CUST0920,34,8,40681
CUST0921,74,1,38807
CUST0922,75,1,7819
CUST0923,306,1,3650
CUST0924,10,10,36215
CUST0925,61,1,33216
CUST0926,156,2,7845
CUST0927,313,2,204
CUST0928,22,6,48651
CUST0929,77,3,38910
CUST0930,113,2,1454
CUST0931,261,1,3148
CUST0932,33,10,21563
CUST0933,108,3,15601
CUST0934,180,3,1006
CUST0935,397,2,2980
CUST0936,22,8,46638
CUST0937,104,4,36350
CUST0938,89,1,6375
CUST0939,253,2,1965
CUST0940,10,6,20277
CUST0941,68,4,28145
CUST0942,118,1,1677
CUST0943,242,2,1044
CUST0944,6,10,34189
CUST0945,56,4,33122
CUST0946,157,1,6844
CUST0947,316,1,3417
CUST0948,11,9,41491
CUST0949,44,4,19631
CUST0950,128,3,5391
CUST0951,372,1,1645
CUST0952,15,7,44245
CUST0953,62,4,22802
CUST0954,94,1,3034
CUST0955,351,2,146
CUST0956,45,9,44112
CUST0957,49,3,22095
CUST0958,123,2,2843
CUST0959,384,2,888
CUST0960,26,10,25380
CUST0961,98,1,32524
CUST0962,171,1,7216
CUST0963,345,1,3746
CUST0964,30,8,47519
CUST0965,43,1,22258
CUST0966,110,2,2574
CUST0967,337,2,1681
CUST0968,26,8,38620
CUST0969,119,4,27029
CUST0970,132,3,3581
CUST0971,215,1,3564
CUST0972,9,9,34130
CUST0973,98,1,32080
CUST0974,144,3,880
CUST0975,269,1,1937
CUST0976,40,10,42204
CUST0977,58,3,26961
CUST0978,128,2,7674
CUST0979,242,2,569
CUST0980,19,8,46621
CUST0981,112,3,38538
CUST0982,178,1,4611
CUST0983,356,1,681
CUST0984,15,8,40092
CUST0985,73,3,35731
CUST0986,91,2,3758
CUST0987,325,2,281
CUST0988,48,7,43383
CUST0989,88,2,16149
CUST0990,118,3,3795
CUST0991,364,2,992
CUST0992,17,7,41072
CUST0993,78,2,32122
CUST0994,153,1,5585
CUST0995,225,1,3397
CUST0996,47,7,31172
CUST0997,71,4,18026
CUST0998,112,3,2832
CUST0999,371,2,2432
CUST1000,24,9,26888
