date,sales_amount,order_count
2022-04-16,28262,127
2022-04-17,25380,89
2022-04-18,48347,282
2022-04-19,53237,196
2022-04-20,44124,154
2022-04-21,49336,162
2022-04-22,53869,206
2022-04-23,28258,177
2022-04-24,20151,57
2022-04-25,53172,223
2022-04-26,51519,212
2022-04-27,40488,133
2022-04-28,50685,218
2022-04-29,52453,329
2022-04-30,36776,108
2022-05-01,25961,89
2022-05-02,45361,270
2022-05-03,49040,322
2022-05-04,51144,193
2022-05-05,41415,186
2022-05-06,53631,229
2022-05-07,33903,213
2022-05-08,20020,86
2022-05-09,53241,320
2022-05-10,51430,174
2022-05-11,48707,173
2022-05-12,41003,121
2022-05-13,60098,229
2022-05-14,32061,95
2022-05-15,24337,96
2022-05-16,47400,178
2022-05-17,40264,143
2022-05-18,44178,136
2022-05-19,52586,278
2022-05-20,48817,190
2022-05-21,34803,102
2022-05-22,24674,73
2022-05-23,41399,133
2022-05-24,41283,152
2022-05-25,47644,317
2022-05-26,40393,160
2022-05-27,56141,326
2022-05-28,32484,128
2022-05-29,26079,88
2022-05-30,41278,163
2022-05-31,45465,174
2022-06-01,55337,161
2022-06-02,57597,166
2022-06-03,55328,161
2022-06-04,38741,139
2022-06-05,27911,122
2022-06-06,48442,221
2022-06-07,59145,186
2022-06-08,46918,179
2022-06-09,45336,268
2022-06-10,59900,257
2022-06-11,33506,152
2022-06-12,28603,98
2022-06-13,54366,295
2022-06-14,44545,213
2022-06-15,58461,207
2022-06-16,59578,190
2022-06-17,61003,239
2022-06-18,40900,135
2022-06-19,22442,91
2022-06-20,50973,271
2022-06-21,52747,265
2022-06-22,48967,160
2022-06-23,56026,318
2022-06-24,61702,302
2022-06-25,36711,146
2022-06-26,26328,98
2022-06-27,50938,220
2022-06-28,57023,244
2022-06-29,51791,321
2022-06-30,50214,271
2022-07-01,54832,356
2022-07-02,38282,186
2022-07-03,25859,78
2022-07-04,55591,170
2022-07-05,48553,190
2022-07-06,51685,279
2022-07-07,57865,205
2022-07-08,56765,241
2022-07-09,31758,93
2022-07-10,22636,70
2022-07-11,49695,172
2022-07-12,46415,157
2022-07-13,46155,210
2022-07-14,58723,177
2022-07-15,64376,246
2022-07-16,34446,213
2022-07-17,27824,84
2022-07-18,57964,345
2022-07-19,50239,239
2022-07-20,53488,235
2022-07-21,51459,161
2022-07-22,62924,329
2022-07-23,38813,194
2022-07-24,24498,157
2022-07-25,47745,179
2022-07-26,49251,313
2022-07-27,55676,159
2022-07-28,54353,329
2022-07-29,57564,295
2022-07-30,39188,166
2022-07-31,24448,77
2022-08-01,51777,238
2022-08-02,41273,134
2022-08-03,49856,216
2022-08-04,53910,275
2022-08-05,58212,208
2022-08-06,36002,112
2022-08-07,23895,83
2022-08-08,49677,265
2022-08-09,50238,144
2022-08-10,44283,174
2022-08-11,47968,236
2022-08-12,56599,317
2022-08-13,29886,116
2022-08-14,27404,164
2022-08-15,46486,202
2022-08-16,49947,226
2022-08-17,53474,168
2022-08-18,46657,164
2022-08-19,48398,206
2022-08-20,36951,138
2022-08-21,26607,87
2022-08-22,45945,146
2022-08-23,45072,154
2022-08-24,43671,228
2022-08-25,50253,225
2022-08-26,51001,267
2022-08-27,30314,159
2022-08-28,25558,146
2022-08-29,50229,300
2022-08-30,47890,197
2022-08-31,45383,189
2022-09-01,51566,196
2022-09-02,47872,186
2022-09-03,30904,111
2022-09-04,26526,108
2022-09-05,41673,170
2022-09-06,55409,271
2022-09-07,43145,130
2022-09-08,53031,208
2022-09-09,58519,170
2022-09-10,31006,172
2022-09-11,24784,72
2022-09-12,55306,198
2022-09-13,44806,141
2022-09-14,45796,151
2022-09-15,52820,287
2022-09-16,52787,248
2022-09-17,35254,170
2022-09-18,27085,175
2022-09-19,54933,296
2022-09-20,45487,232
2022-09-21,47074,305
2022-09-22,48980,161
2022-09-23,48092,194
2022-09-24,34454,159
2022-09-25,26472,89
2022-09-26,43540,273
2022-09-27,45979,218
2022-09-28,43678,248
2022-09-29,42204,146
2022-09-30,51013,271
2022-10-01,35178,153
2022-10-02,21324,98
2022-10-03,51317,305
2022-10-04,45610,259
2022-10-05,42845,223
2022-10-06,48723,201
2022-10-07,62780,198
2022-10-08,38198,119
2022-10-09,26332,107
2022-10-10,46480,148
2022-10-11,48186,159
2022-10-12,52663,195
2022-10-13,48095,225
2022-10-14,50325,232
2022-10-15,34778,129
2022-10-16,23119,66
2022-10-17,49288,153
2022-10-18,53790,271
2022-10-19,47915,243
2022-10-20,46741,231
2022-10-21,51405,184
2022-10-22,30688,180
2022-10-23,26911,152
2022-10-24,51834,158
2022-10-25,52402,161
2022-10-26,56173,162
2022-10-27,43751,125
2022-10-28,56254,162
2022-10-29,39071,143
2022-10-30,26847,130
2022-10-31,45938,150
2022-11-01,68413,347
2022-11-02,59426,202
2022-11-03,54196,158
2022-11-04,61295,403
2022-11-05,38898,167
2022-11-06,26408,77
2022-11-07,71236,217
2022-11-08,57825,169
2022-11-09,64033,197
2022-11-10,60245,331
2022-11-11,76304,337
2022-11-12,43732,278
2022-11-13,34806,169
2022-11-14,58708,224
2022-11-15,62306,245
2022-11-16,63997,278
2022-11-17,68443,222
2022-11-18,75813,294
2022-11-19,42079,221
2022-11-20,27300,130
2022-11-21,67278,200
2022-11-22,53696,248
2022-11-23,59974,174
2022-11-24,70791,255
2022-11-25,81862,411
2022-11-26,46496,169
2022-11-27,26955,124
2022-11-28,59360,216
2022-11-29,53926,171
2022-11-30,69537,231
2022-12-01,64745,374
2022-12-02,78035,321
2022-12-03,49090,190
2022-12-04,31644,205
2022-12-05,79391,254
2022-12-06,74939,271
2022-12-07,61170,328
2022-12-08,60226,340
2022-12-09,81615,270
2022-12-10,45712,192
2022-12-11,36598,234
2022-12-12,64947,358
2022-12-13,77644,272
2022-12-14,64877,408
2022-12-15,59798,206
2022-12-16,91127,288
2022-12-17,51432,227
2022-12-18,34252,101
2022-12-19,71237,215
2022-12-20,70272,319
2022-12-21,77372,477
2022-12-22,72994,307
2022-12-23,88206,274
2022-12-24,54965,189
2022-12-25,30807,150
2022-12-26,75198,306
2022-12-27,65282,347
2022-12-28,68239,307
2022-12-29,80810,427
2022-12-30,81862,437
2022-12-31,51556,263
2023-01-01,20668,75
2023-01-02,41876,220
2023-01-03,42867,214
2023-01-04,43961,127
2023-01-05,37200,106
2023-01-06,43394,133
2023-01-07,26012,114
2023-01-08,23425,94
2023-01-09,42982,167
2023-01-10,46595,144
2023-01-11,49160,323
2023-01-12,40030,152
2023-01-13,45742,132
2023-01-14,31515,140
2023-01-15,22947,128
2023-01-16,42759,193
2023-01-17,39943,240
2023-01-18,43982,182
2023-01-19,37709,235
2023-01-20,46961,141
2023-01-21,31223,109
2023-01-22,21922,92
2023-01-23,39620,191
2023-01-24,40849,173
2023-01-25,37712,120
2023-01-26,44364,218
2023-01-27,52032,149
2023-01-28,32252,172
2023-01-29,18557,106
2023-01-30,46406,224
2023-01-31,48681,268
2023-02-01,45846,143
2023-02-02,46144,213
2023-02-03,47400,175
2023-02-04,33344,124
2023-02-05,18822,81
2023-02-06,37037,129
2023-02-07,40995,199
2023-02-08,45453,247
2023-02-09,36939,112
2023-02-10,48925,148
2023-02-11,34097,136
2023-02-12,23964,106
2023-02-13,38343,161
2023-02-14,43961,131
2023-02-15,42903,197
2023-02-16,38953,132
2023-02-17,54566,179
2023-02-18,31294,115
2023-02-19,20357,119
2023-02-20,37053,135
2023-02-21,48842,193
2023-02-22,40392,255
2023-02-23,42422,163
2023-02-24,56757,261
2023-02-25,33525,98
2023-02-26,21715,81
2023-02-27,45669,135
2023-02-28,43281,245
2023-03-01,44783,133
2023-03-02,47024,301
2023-03-03,55977,293
2023-03-04,40983,142
2023-03-05,24605,83
2023-03-06,56836,287
2023-03-07,49322,324
2023-03-08,52334,165
2023-03-09,48384,195
2023-03-10,50800,234
2023-03-11,31753,193
2023-03-12,25016,132
2023-03-13,47569,174
2023-03-14,44530,250
2023-03-15,51278,248
2023-03-16,53755,154
2023-03-17,67220,287
2023-03-18,37850,135
2023-03-19,22315,82
2023-03-20,45576,292
2023-03-21,46390,156
2023-03-22,50163,183
2023-03-23,54588,161
2023-03-24,67599,318
2023-03-25,33513,182
2023-03-26,23492,69
2023-03-27,54299,264
2023-03-28,44621,256
2023-03-29,50616,299
2023-03-30,53478,152
2023-03-31,67855,297
2023-04-01,39519,229
2023-04-02,29513,173
2023-04-03,51622,273
2023-04-04,56894,173
2023-04-05,56800,284
2023-04-06,57230,238
2023-04-07,54115,234
2023-04-08,35147,114
2023-04-09,28332,132
2023-04-10,49842,317
2023-04-11,54629,170
2023-04-12,44309,263
2023-04-13,57046,288
2023-04-14,54055,213
2023-04-15,34598,164
2023-04-16,29847,85
2023-04-17,53450,187
2023-04-18,58541,311
2023-04-19,50467,290
2023-04-20,57973,182
2023-04-21,56990,204
2023-04-22,36961,119
2023-04-23,23215,78
2023-04-24,54529,165
2023-04-25,46914,196
2023-04-26,56059,166
2023-04-27,54764,348
2023-04-28,61803,361
2023-04-29,39500,172
2023-04-30,26814,96
2023-05-01,47846,169
2023-05-02,57222,243
2023-05-03,47306,155
2023-05-04,57035,251
2023-05-05,58307,216
2023-05-06,35694,202
2023-05-07,23228,108
2023-05-08,55710,274
2023-05-09,49655,324
2023-05-10,47536,205
2023-05-11,50059,191
2023-05-12,53500,155
2023-05-13,39770,160
2023-05-14,29146,122
2023-05-15,57595,270
2023-05-16,55657,339
2023-05-17,58062,203
2023-05-18,53686,197
2023-05-19,66620,196
2023-05-20,34341,146
2023-05-21,22867,112
2023-05-22,57308,172
2023-05-23,49287,219
2023-05-24,45480,158
2023-05-25,53831,332
2023-05-26,64779,305
2023-05-27,34116,127
2023-05-28,22796,129
2023-05-29,55824,280
2023-05-30,52435,166
2023-05-31,51887,175
2023-06-01,65234,272
2023-06-02,58416,170
2023-06-03,38745,112
2023-06-04,31064,102
2023-06-05,65042,314
2023-06-06,54530,155
2023-06-07,64744,241
2023-06-08,58860,374
2023-06-09,64961,232
2023-06-10,43594,236
2023-06-11,26533,78
2023-06-12,59063,204
2023-06-13,51859,292
2023-06-14,51039,162
2023-06-15,58140,214
2023-06-16,75940,222
2023-06-17,38441,213
2023-06-18,32307,168
2023-06-19,50844,177
2023-06-20,63011,214
2023-06-21,66436,197
2023-06-22,66538,339
2023-06-23,60059,337
2023-06-24,45121,130
2023-06-25,29478,135
2023-06-26,61186,407
2023-06-27,65418,349
2023-06-28,53135,155
2023-06-29,58562,233
2023-06-30,66482,275
2023-07-01,45725,280
2023-07-02,27345,167
2023-07-03,53759,227
2023-07-04,65902,298
2023-07-05,50358,159
2023-07-06,58087,315
2023-07-07,73822,263
2023-07-08,39478,150
2023-07-09,33133,192
2023-07-10,66430,205
2023-07-11,52812,207
2023-07-12,57089,263
2023-07-13,65454,433
2023-07-14,60331,241
2023-07-15,39372,197
2023-07-16,25718,109
2023-07-17,50710,148
2023-07-18,52548,236
2023-07-19,62359,221
2023-07-20,51552,341
2023-07-21,59495,244
2023-07-22,38560,117
2023-07-23,27152,137
2023-07-24,60747,361
2023-07-25,65254,250
2023-07-26,56195,237
2023-07-27,50103,146
2023-07-28,67470,294
2023-07-29,38434,138
2023-07-30,28613,126
2023-07-31,56910,179
2023-08-01,49731,185
2023-08-02,59558,289
2023-08-03,46344,163
2023-08-04,54672,198
2023-08-05,41841,133
2023-08-06,28569,82
2023-08-07,56202,177
2023-08-08,48248,242
2023-08-09,55380,168
2023-08-10,59973,204
2023-08-11,64337,184
2023-08-12,41471,140
2023-08-13,25284,95
2023-08-14,46457,167
2023-08-15,57827,196
2023-08-16,56109,169
2023-08-17,60343,214
2023-08-18,70106,318
2023-08-19,39863,192
2023-08-20,29159,88
2023-08-21,57696,194
2023-08-22,51127,184
2023-08-23,50520,171
2023-08-24,47572,140
2023-08-25,53390,282
2023-08-26,38736,172
2023-08-27,29225,101
2023-08-28,47566,153
2023-08-29,53472,185
2023-08-30,53061,283
2023-08-31,46250,155
2023-09-01,57204,312
2023-09-02,35875,187
2023-09-03,27510,97
2023-09-04,54013,287
2023-09-05,52688,215
2023-09-06,56797,202
2023-09-07,54962,205
2023-09-08,63673,301
2023-09-09,33665,151
2023-09-10,23743,140
2023-09-11,61082,186
2023-09-12,50970,190
2023-09-13,52909,208
2023-09-14,56880,314
2023-09-15,66413,409
2023-09-16,33471,205
2023-09-17,23664,79
2023-09-18,55255,189
2023-09-19,46921,256
2023-09-20,58835,217
2023-09-21,49277,156
2023-09-22,62304,329
2023-09-23,39503,187
2023-09-24,23218,69
2023-09-25,55847,179
2023-09-26,53226,170
2023-09-27,50957,326
2023-09-28,49427,213
2023-09-29,60497,225
2023-09-30,38954,152
2023-10-01,28958,82
2023-10-02,60907,251
2023-10-03,58407,167
2023-10-04,55743,214
2023-10-05,59684,174
2023-10-06,55392,200
2023-10-07,42839,161
2023-10-08,25826,87
2023-10-09,52441,196
2023-10-10,55469,330
2023-10-11,59574,216
2023-10-12,57038,166
2023-10-13,59869,173
2023-10-14,39077,116
2023-10-15,31387,104
2023-10-16,56399,233
2023-10-17,49611,240
2023-10-18,52117,151
2023-10-19,53274,281
2023-10-20,59710,234
2023-10-21,40161,176
2023-10-22,26078,83
2023-10-23,53042,184
2023-10-24,53181,215
2023-10-25,61957,317
2023-10-26,61552,243
2023-10-27,53857,195
2023-10-28,42269,262
2023-10-29,25780,84
2023-10-30,60091,190
2023-10-31,61730,279
2023-11-01,63295,359
2023-11-02,69782,243
2023-11-03,76606,481
2023-11-04,50322,255
2023-11-05,34213,148
2023-11-06,62191,307
2023-11-07,71216,219
2023-11-08,77633,306
2023-11-09,62870,216
2023-11-10,88721,504
2023-11-11,54459,307
2023-11-12,35978,119
2023-11-13,76726,368
2023-11-14,77262,429
2023-11-15,61713,232
2023-11-16,72464,312
2023-11-17,82783,420
2023-11-18,50237,176
2023-11-19,37604,178
2023-11-20,71104,399
2023-11-21,71563,244
2023-11-22,78943,322
2023-11-23,59659,348
2023-11-24,88007,281
2023-11-25,52534,194
2023-11-26,39567,198
2023-11-27,76997,356
2023-11-28,64318,274
2023-11-29,62045,227
2023-11-30,62475,317
2023-12-01,77511,313
2023-12-02,48138,195
2023-12-03,42234,281
2023-12-04,68116,403
2023-12-05,73066,401
2023-12-06,77180,289
2023-12-07,68571,224
2023-12-08,94081,325
2023-12-09,48913,173
2023-12-10,38429,160
2023-12-11,68798,315
2023-12-12,71413,211
2023-12-13,82040,242
2023-12-14,88978,292
2023-12-15,82424,406
2023-12-16,55816,190
2023-12-17,42071,139
2023-12-18,83733,375
2023-12-19,85280,557
2023-12-20,69342,230
2023-12-21,76341,363
2023-12-22,91871,390
2023-12-23,51148,213
2023-12-24,38244,136
2023-12-25,75815,227
2023-12-26,87957,277
2023-12-27,79892,358
2023-12-28,68119,415
2023-12-29,77961,231
2023-12-30,58225,183
2023-12-31,43455,145
2024-01-01,54340,197
2024-01-02,40772,179
2024-01-03,41235,242
2024-01-04,52578,215
2024-01-05,51700,150
2024-01-06,29171,87
2024-01-07,23009,123
2024-01-08,52505,180
2024-01-09,49409,144
2024-01-10,50106,240
2024-01-11,51786,222
2024-01-12,62699,302
2024-01-13,36522,122
2024-01-14,22824,123
2024-01-15,49870,236
2024-01-16,49128,319
2024-01-17,47511,271
2024-01-18,42555,245
2024-01-19,59785,355
2024-01-20,37085,133
2024-01-21,25220,132
2024-01-22,49505,143
2024-01-23,52023,187
2024-01-24,49630,158
2024-01-25,43135,163
2024-01-26,56731,192
2024-01-27,32507,128
2024-01-28,21983,103
2024-01-29,52354,227
2024-01-30,41374,149
2024-01-31,45097,160
2024-02-01,42820,160
2024-02-02,48948,258
2024-02-03,36987,150
2024-02-04,21211,69
2024-02-05,53019,329
2024-02-06,47550,190
2024-02-07,44552,153
2024-02-08,50948,299
2024-02-09,52593,162
2024-02-10,34721,136
2024-02-11,23169,68
2024-02-12,42186,129
2024-02-13,45521,258
2024-02-14,52885,169
2024-02-15,44075,148
2024-02-16,53645,175
2024-02-17,38049,205
2024-02-18,26210,131
2024-02-19,48064,187
2024-02-20,49882,160
2024-02-21,45155,154
2024-02-22,51918,148
2024-02-23,52064,338
2024-02-24,36360,202
2024-02-25,25056,85
2024-02-26,42164,221
2024-02-27,49409,144
2024-02-28,53898,193
2024-02-29,41799,124
2024-03-01,65124,324
2024-03-02,36176,192
2024-03-03,25708,97
2024-03-04,60206,194
2024-03-05,52419,174
2024-03-06,59055,175
2024-03-07,53521,322
2024-03-08,58152,298
2024-03-09,44480,139
2024-03-10,25493,145
2024-03-11,65523,425
2024-03-12,58822,332
2024-03-13,55691,206
2024-03-14,51964,151
2024-03-15,64401,270
2024-03-16,35791,190
2024-03-17,29434,175
2024-03-18,51528,220
2024-03-19,49548,198
2024-03-20,53512,261
2024-03-21,65643,204
2024-03-22,58697,169
2024-03-23,39215,242
2024-03-24,28328,113
2024-03-25,63888,351
2024-03-26,53610,178
2024-03-27,58984,327
2024-03-28,53837,185
2024-03-29,58326,362
2024-03-30,37819,168
2024-03-31,27198,112
2024-04-01,60961,194
2024-04-02,60389,304
2024-04-03,50838,175
2024-04-04,58745,220
2024-04-05,67223,298
2024-04-06,46023,239
2024-04-07,28758,184
2024-04-08,62265,299
2024-04-09,64701,340
2024-04-10,54587,198
2024-04-11,54870,191
2024-04-12,73703,289
2024-04-13,34292,109
2024-04-14,27305,106
2024-04-15,52775,189
2024-04-16,59785,305
2024-04-17,60442,207
2024-04-18,54739,178
2024-04-19,73605,462
2024-04-20,46137,155
2024-04-21,25603,84
2024-04-22,55610,226
2024-04-23,62411,293
2024-04-24,55049,178
2024-04-25,64189,183
2024-04-26,62634,200
2024-04-27,45405,133
2024-04-28,27861,80
2024-04-29,63978,333
2024-04-30,52303,188
2024-05-01,56802,194
2024-05-02,50603,244
2024-05-03,63088,356
2024-05-04,44536,257
2024-05-05,27172,154
2024-05-06,51044,283
2024-05-07,54901,278
2024-05-08,58830,360
2024-05-09,62213,368
2024-05-10,64573,188
2024-05-11,46428,249
2024-05-12,32728,160
2024-05-13,56057,293
2024-05-14,64804,206
2024-05-15,58507,211
2024-05-16,56690,347
2024-05-17,66284,374
2024-05-18,36213,107
2024-05-19,25335,106
2024-05-20,63180,382
2024-05-21,57588,235
2024-05-22,53446,231
2024-05-23,55030,259
2024-05-24,73008,264
2024-05-25,44564,271
2024-05-26,31805,159
2024-05-27,66433,423
2024-05-28,56408,175
2024-05-29,51033,200
2024-05-30,61304,376
2024-05-31,72374,310
2024-06-01,45155,151
2024-06-02,29147,93
2024-06-03,60351,361
2024-06-04,65542,280
2024-06-05,66512,318
2024-06-06,66514,283
2024-06-07,65165,327
2024-06-08,51165,147
2024-06-09,30580,121
2024-06-10,73072,211
2024-06-11,67944,217
2024-06-12,58763,192
2024-06-13,59874,200
2024-06-14,82631,354
2024-06-15,40998,166
2024-06-16,34799,217
2024-06-17,57022,247
2024-06-18,73486,293
2024-06-19,57197,181
2024-06-20,67830,351
2024-06-21,74825,329
2024-06-22,38370,198
2024-06-23,31565,197
2024-06-24,54845,161
2024-06-25,60082,195
2024-06-26,62075,200
2024-06-27,61001,211
2024-06-28,76224,359
2024-06-29,43525,230
2024-06-30,33569,134
2024-07-01,68955,280
2024-07-02,61120,269
2024-07-03,68307,339
2024-07-04,67300,329
2024-07-05,69222,223
2024-07-06,42915,188
2024-07-07,33702,101
2024-07-08,64868,410
2024-07-09,70006,216
2024-07-10,62041,217
2024-07-11,62914,218
2024-07-12,76885,294
2024-07-13,49242,270
2024-07-14,32988,102
2024-07-15,55139,177
2024-07-16,62873,325
2024-07-17,67426,234
2024-07-18,73694,334
2024-07-19,68508,202
2024-07-20,46398,161
2024-07-21,28949,91
2024-07-22,57324,244
2024-07-23,69168,364
2024-07-24,60743,212
2024-07-25,64432,243
2024-07-26,78220,238
2024-07-27,42694,153
2024-07-28,33771,126
2024-07-29,56534,194
2024-07-30,56878,225
2024-07-31,57535,186
2024-08-01,55225,265
2024-08-02,58705,326
2024-08-03,39247,233
2024-08-04,25695,117
2024-08-05,67063,266
2024-08-06,65302,211
2024-08-07,50631,155
2024-08-08,62925,221
2024-08-09,59315,292
2024-08-10,44910,207
2024-08-11,29059,91
2024-08-12,50785,163
2024-08-13,57115,175
2024-08-14,64679,256
2024-08-15,68094,281
2024-08-16,66806,203
2024-08-17,40010,248
2024-08-18,26584,78
2024-08-19,64858,189
2024-08-20,63341,338
2024-08-21,60388,284
2024-08-22,56772,269
2024-08-23,73371,292
2024-08-24,47745,246
2024-08-25,30912,136
2024-08-26,54414,241
2024-08-27,58231,259
2024-08-28,59526,188
2024-08-29,68050,233
2024-08-30,70121,274
2024-08-31,37156,168
2024-09-01,30490,88
2024-09-02,55817,160
2024-09-03,52690,246
2024-09-04,51881,162
2024-09-05,63003,222
2024-09-06,73551,234
2024-09-07,39301,248
2024-09-08,31529,95
2024-09-09,54908,310
2024-09-10,60644,404
2024-09-11,66427,369
2024-09-12,59760,323
2024-09-13,78174,244
2024-09-14,42354,273
2024-09-15,27678,183
2024-09-16,65481,404
2024-09-17,54795,171
2024-09-18,61393,184
2024-09-19,51230,221
2024-09-20,67463,273
2024-09-21,40771,130
2024-09-22,27936,135
2024-09-23,65704,187
2024-09-24,56669,224
2024-09-25,59614,175
2024-09-26,62537,251
